"ID";"N";"E";"Z1_int";"Z2_int";"Z3_int";"Z4_int";"Z5_int";"Z6_int";"interv"
"l-790580";"26";"1";"0";"0";"0";"0";"0";"0";"None"
"l-790580";"28";"2";"0";"0";"1";"0";"0";"0";"close"
"l-790580";"46";"3";"0";"1";"0";"0";"0";"0";"rand"
"i-686905";"23";"1";"0";"0";"0";"0";"0";"0";"None"
"i-686905";"41";"2";"0";"1";"0";"0";"0";"1";"rand"
"i-686905";"36";"3";"1";"1";"1";"0";"1";"1";"all"
"l-712999";"6";"1";"0";"0";"0";"0";"0";"0";"None"
"l-712999";"55";"2";"0";"0";"1";"0";"0";"0";"rand"
"l-712999";"39";"3";"0";"1";"1";"1";"1";"1";"all"
"k-655161";"63";"1";"0";"0";"0";"0";"0";"0";"None"
"k-655161";"3";"2";"1";"1";"0";"1";"1";"1";"all"
"k-655161";"34";"3";"1";"1";"0";"1";"1";"1";"all"
"a-889981";"49";"1";"0";"0";"0";"0";"0";"0";"None"
"a-889981";"9";"2";"1";"0";"1";"1";"1";"1";"all"
"a-889981";"42";"3";"1";"0";"1";"1";"1";"1";"all"
"j-334789";"57";"1";"0";"0";"0";"0";"0";"0";"None"
"j-334789";"9";"2";"0";"0";"0";"1";"0";"0";"rand"
"j-334789";"34";"3";"0";"1";"0";"0";"0";"0";"rand"
"k-259727";"73";"1";"0";"0";"0";"0";"0";"0";"None"
"k-259727";"25";"2";"1";"1";"1";"1";"1";"0";"all"
"k-259727";"2";"3";"1";"1";"1";"1";"1";"0";"all"
"s-809109";"73";"1";"0";"0";"0";"0";"0";"0";"None"
"s-809109";"11";"2";"1";"1";"1";"1";"0";"1";"all"
"s-809109";"16";"3";"1";"1";"1";"1";"0";"1";"all"
"o-550536";"2";"1";"0";"0";"0";"0";"0";"0";"None"
"o-550536";"28";"2";"0";"0";"0";"1";"0";"0";"close"
"o-550536";"70";"3";"0";"0";"0";"1";"0";"0";"rand"
"t-903015";"4";"1";"0";"0";"0";"0";"0";"0";"None"
"t-903015";"83";"2";"1";"0";"0";"1";"0";"0";"rand"
"t-903015";"13";"3";"1";"0";"1";"1";"1";"1";"all"
"j-649235";"20";"1";"0";"0";"0";"0";"0";"0";"None"
"j-649235";"78";"2";"0";"0";"1";"0";"0";"0";"close"
"j-649235";"2";"3";"0";"0";"0";"0";"0";"1";"rand"
"h-940139";"40";"1";"0";"0";"0";"0";"0";"0";"None"
"h-940139";"15";"2";"1";"0";"1";"1";"1";"1";"all"
"h-940139";"45";"3";"1";"0";"1";"0";"0";"0";"close"
"s-498520";"51";"1";"0";"0";"0";"0";"0";"0";"None"
"s-498520";"49";"2";"1";"0";"0";"0";"0";"1";"close"
"s-498520";"0";"3";"1";"1";"0";"1";"1";"1";"all"
"g-408956";"74";"1";"0";"0";"0";"0";"0";"0";"None"
"g-408956";"9";"2";"1";"1";"1";"1";"1";"0";"all"
"g-408956";"17";"3";"1";"1";"1";"1";"1";"0";"all"
"g-248619";"46";"1";"0";"0";"0";"0";"0";"0";"None"
"g-248619";"48";"2";"1";"1";"1";"0";"1";"1";"all"
"g-248619";"6";"3";"1";"1";"1";"0";"1";"1";"all"
"p-694606";"39";"1";"0";"0";"0";"0";"0";"0";"None"
"p-694606";"21";"2";"1";"1";"1";"0";"1";"1";"all"
"p-694606";"40";"3";"1";"1";"1";"0";"1";"1";"all"
"m-695183";"44";"1";"0";"0";"0";"0";"0";"0";"None"
"m-695183";"49";"2";"0";"0";"1";"0";"0";"1";"close"
"m-695183";"7";"3";"0";"0";"1";"0";"0";"1";"rand"
"j-686573";"62";"1";"0";"0";"0";"0";"0";"0";"None"
"j-686573";"21";"2";"0";"0";"0";"1";"0";"0";"rand"
"j-686573";"17";"3";"0";"0";"1";"0";"0";"0";"close"
"z-874106";"20";"1";"0";"0";"0";"0";"0";"0";"None"
"z-874106";"62";"2";"0";"1";"0";"0";"0";"1";"close"
"z-874106";"18";"3";"0";"1";"0";"0";"0";"1";"rand"
"x-371787";"22";"1";"0";"0";"0";"0";"0";"0";"None"
"x-371787";"19";"2";"0";"1";"0";"1";"0";"0";"rand"
"x-371787";"59";"3";"0";"1";"0";"1";"0";"0";"close"
